path,tile,wsi,x,y,label
data/grid_tiles/7817_8509/gridtile_2292_level0_9728-32768-10240-33280.png,gridtile_2292_level0_9728-32768-10240-33280.png,7817_8509,9728,32768,dummy
data/grid_tiles/7817_8509/gridtile_11072_level0_59392-10240-59904-10752.png,gridtile_11072_level0_59392-10240-59904-10752.png,7817_8509,59392,10240,dummy
data/grid_tiles/7817_8509/gridtile_6013_level0_30208-10752-30720-11264.png,gridtile_6013_level0_30208-10752-30720-11264.png,7817_8509,30208,10752,dummy
data/grid_tiles/7817_8509/gridtile_8402_level0_43008-7168-43520-7680.png,gridtile_8402_level0_43008-7168-43520-7680.png,7817_8509,43008,7168,dummy
data/grid_tiles/7817_8509/gridtile_12168_level0_66560-15872-67072-16384.png,gridtile_12168_level0_66560-15872-67072-16384.png,7817_8509,66560,15872,dummy
data/grid_tiles/7817_8509/gridtile_4255_level0_20992-10752-21504-11264.png,gridtile_4255_level0_20992-10752-21504-11264.png,7817_8509,20992,10752,dummy
data/grid_tiles/7817_8509/gridtile_6300_level0_31744-6656-32256-7168.png,gridtile_6300_level0_31744-6656-32256-7168.png,7817_8509,31744,6656,dummy
data/grid_tiles/7817_8509/gridtile_2960_level0_13824-4608-14336-5120.png,gridtile_2960_level0_13824-4608-14336-5120.png,7817_8509,13824,4608,dummy
data/grid_tiles/7817_8509/gridtile_6288_level0_31744-512-32256-1024.png,gridtile_6288_level0_31744-512-32256-1024.png,7817_8509,31744,512,dummy
data/grid_tiles/7817_8509/gridtile_1627_level0_6656-30208-7168-30720.png,gridtile_1627_level0_6656-30208-7168-30720.png,7817_8509,6656,30208,dummy
data/grid_tiles/7817_8509/gridtile_6157_level0_30720-51200-31232-51712.png,gridtile_6157_level0_30720-51200-31232-51712.png,7817_8509,30720,51200,dummy
data/grid_tiles/7817_8509/gridtile_3762_level0_18432-1024-18944-1536.png,gridtile_3762_level0_18432-1024-18944-1536.png,7817_8509,18432,1024,dummy
data/grid_tiles/7817_8509/gridtile_7203_level0_35840-46080-36352-46592.png,gridtile_7203_level0_35840-46080-36352-46592.png,7817_8509,35840,46080,dummy
data/grid_tiles/7817_8509/gridtile_3463_level0_16384-35840-16896-36352.png,gridtile_3463_level0_16384-35840-16896-36352.png,7817_8509,16384,35840,dummy
data/grid_tiles/7817_8509/gridtile_7466_level0_37376-13312-37888-13824.png,gridtile_7466_level0_37376-13312-37888-13824.png,7817_8509,37376,13312,dummy
data/grid_tiles/7817_8509/gridtile_7006_level0_34816-58368-35328-58880.png,gridtile_7006_level0_34816-58368-35328-58880.png,7817_8509,34816,58368,dummy
data/grid_tiles/7817_8509/gridtile_951_level0_3584-38400-4096-38912.png,gridtile_951_level0_3584-38400-4096-38912.png,7817_8509,3584,38400,dummy
data/grid_tiles/7817_8509/gridtile_8876_level0_45568-35328-46080-35840.png,gridtile_8876_level0_45568-35328-46080-35840.png,7817_8509,45568,35328,dummy
data/grid_tiles/7817_8509/gridtile_2993_level0_13824-21504-14336-22016.png,gridtile_2993_level0_13824-21504-14336-22016.png,7817_8509,13824,21504,dummy
data/grid_tiles/7817_8509/gridtile_11410_level0_61440-2048-61952-2560.png,gridtile_11410_level0_61440-2048-61952-2560.png,7817_8509,61440,2048,dummy
data/grid_tiles/7817_8509/gridtile_3476_level0_16384-47104-16896-47616.png,gridtile_3476_level0_16384-47104-16896-47616.png,7817_8509,16384,47104,dummy
data/grid_tiles/7817_8509/gridtile_2450_level0_10752-14336-11264-14848.png,gridtile_2450_level0_10752-14336-11264-14848.png,7817_8509,10752,14336,dummy
data/grid_tiles/7817_8509/gridtile_1982_level0_8192-36864-8704-37376.png,gridtile_1982_level0_8192-36864-8704-37376.png,7817_8509,8192,36864,dummy
data/grid_tiles/7817_8509/gridtile_7522_level0_37376-59392-37888-59904.png,gridtile_7522_level0_37376-59392-37888-59904.png,7817_8509,37376,59392,dummy
data/grid_tiles/7817_8509/gridtile_11875_level0_64512-7168-65024-7680.png,gridtile_11875_level0_64512-7168-65024-7680.png,7817_8509,64512,7168,dummy
data/grid_tiles/7817_8509/gridtile_13181_level0_72192-47104-72704-47616.png,gridtile_13181_level0_72192-47104-72704-47616.png,7817_8509,72192,47104,dummy
data/grid_tiles/7817_8509/gridtile_5919_level0_29696-9728-30208-10240.png,gridtile_5919_level0_29696-9728-30208-10240.png,7817_8509,29696,9728,dummy
data/grid_tiles/7817_8509/gridtile_5150_level0_25600-19456-26112-19968.png,gridtile_5150_level0_25600-19456-26112-19968.png,7817_8509,25600,19456,dummy
data/grid_tiles/7817_8509/gridtile_7637_level0_38400-12800-38912-13312.png,gridtile_7637_level0_38400-12800-38912-13312.png,7817_8509,38400,12800,dummy
data/grid_tiles/7817_8509/gridtile_4921_level0_24576-6656-25088-7168.png,gridtile_4921_level0_24576-6656-25088-7168.png,7817_8509,24576,6656,dummy
data/grid_tiles/7817_8509/gridtile_1127_level0_4608-6144-5120-6656.png,gridtile_1127_level0_4608-6144-5120-6656.png,7817_8509,4608,6144,dummy
data/grid_tiles/7817_8509/gridtile_6544_level0_32768-17920-33280-18432.png,gridtile_6544_level0_32768-17920-33280-18432.png,7817_8509,32768,17920,dummy
data/grid_tiles/7817_8509/gridtile_12075_level0_65536-58880-66048-59392.png,gridtile_12075_level0_65536-58880-66048-59392.png,7817_8509,65536,58880,dummy
data/grid_tiles/7817_8509/gridtile_8660_level0_44032-56320-44544-56832.png,gridtile_8660_level0_44032-56320-44544-56832.png,7817_8509,44032,56320,dummy
data/grid_tiles/7817_8509/gridtile_2937_level0_13312-40960-13824-41472.png,gridtile_2937_level0_13312-40960-13824-41472.png,7817_8509,13312,40960,dummy
data/grid_tiles/7817_8509/gridtile_4200_level0_20480-29696-20992-30208.png,gridtile_4200_level0_20480-29696-20992-30208.png,7817_8509,20480,29696,dummy
data/grid_tiles/7817_8509/gridtile_2789_level0_12800-1536-13312-2048.png,gridtile_2789_level0_12800-1536-13312-2048.png,7817_8509,12800,1536,dummy
data/grid_tiles/7817_8509/gridtile_4906_level0_24064-63488-24576-64000.png,gridtile_4906_level0_24064-63488-24576-64000.png,7817_8509,24064,63488,dummy
data/grid_tiles/7817_8509/gridtile_7616_level0_38400-2048-38912-2560.png,gridtile_7616_level0_38400-2048-38912-2560.png,7817_8509,38400,2048,dummy
data/grid_tiles/7817_8509/gridtile_12037_level0_65536-12800-66048-13312.png,gridtile_12037_level0_65536-12800-66048-13312.png,7817_8509,65536,12800,dummy
data/grid_tiles/7817_8509/gridtile_4460_level0_22016-21504-22528-22016.png,gridtile_4460_level0_22016-21504-22528-22016.png,7817_8509,22016,21504,dummy
data/grid_tiles/7817_8509/gridtile_291_level0_1024-19968-1536-20480.png,gridtile_291_level0_1024-19968-1536-20480.png,7817_8509,1024,19968,dummy
data/grid_tiles/7817_8509/gridtile_13174_level0_72192-43520-72704-44032.png,gridtile_13174_level0_72192-43520-72704-44032.png,7817_8509,72192,43520,dummy
data/grid_tiles/7817_8509/gridtile_1267_level0_5120-19968-5632-20480.png,gridtile_1267_level0_5120-19968-5632-20480.png,7817_8509,5120,19968,dummy
data/grid_tiles/7817_8509/gridtile_11179_level0_59904-35840-60416-36352.png,gridtile_11179_level0_59904-35840-60416-36352.png,7817_8509,59904,35840,dummy
data/grid_tiles/7817_8509/gridtile_12249_level0_67072-22016-67584-22528.png,gridtile_12249_level0_67072-22016-67584-22528.png,7817_8509,67072,22016,dummy
data/grid_tiles/7817_8509/gridtile_5027_level0_25088-8192-25600-8704.png,gridtile_5027_level0_25088-8192-25600-8704.png,7817_8509,25088,8192,dummy
data/grid_tiles/7817_8509/gridtile_10538_level0_55808-30720-56320-31232.png,gridtile_10538_level0_55808-30720-56320-31232.png,7817_8509,55808,30720,dummy
data/grid_tiles/7817_8509/gridtile_993_level0_3584-62976-4096-63488.png,gridtile_993_level0_3584-62976-4096-63488.png,7817_8509,3584,62976,dummy
data/grid_tiles/7817_8509/gridtile_230_level0_512-53248-1024-53760.png,gridtile_230_level0_512-53248-1024-53760.png,7817_8509,512,53248,dummy
data/grid_tiles/7817_8509/gridtile_12463_level0_68096-39936-68608-40448.png,gridtile_12463_level0_68096-39936-68608-40448.png,7817_8509,68096,39936,dummy
data/grid_tiles/7817_8509/gridtile_10609_level0_56320-4096-56832-4608.png,gridtile_10609_level0_56320-4096-56832-4608.png,7817_8509,56320,4096,dummy
data/grid_tiles/7817_8509/gridtile_12969_level0_71168-43520-71680-44032.png,gridtile_12969_level0_71168-43520-71680-44032.png,7817_8509,71168,43520,dummy
data/grid_tiles/7817_8509/gridtile_9645_level0_50176-43008-50688-43520.png,gridtile_9645_level0_50176-43008-50688-43520.png,7817_8509,50176,43008,dummy
data/grid_tiles/7817_8509/gridtile_9464_level0_49152-29696-49664-30208.png,gridtile_9464_level0_49152-29696-49664-30208.png,7817_8509,49152,29696,dummy
data/grid_tiles/7817_8509/gridtile_6220_level0_31232-19968-31744-20480.png,gridtile_6220_level0_31232-19968-31744-20480.png,7817_8509,31232,19968,dummy
data/grid_tiles/7817_8509/gridtile_6065_level0_30208-50688-30720-51200.png,gridtile_6065_level0_30208-50688-30720-51200.png,7817_8509,30208,50688,dummy
data/grid_tiles/7817_8509/gridtile_2686_level0_11776-43008-12288-43520.png,gridtile_2686_level0_11776-43008-12288-43520.png,7817_8509,11776,43008,dummy
data/grid_tiles/7817_8509/gridtile_5120_level0_25600-4096-26112-4608.png,gridtile_5120_level0_25600-4096-26112-4608.png,7817_8509,25600,4096,dummy
data/grid_tiles/7817_8509/gridtile_8163_level0_41472-1536-41984-2048.png,gridtile_8163_level0_41472-1536-41984-2048.png,7817_8509,41472,1536,dummy
data/grid_tiles/7817_8509/gridtile_3127_level0_14336-61952-14848-62464.png,gridtile_3127_level0_14336-61952-14848-62464.png,7817_8509,14336,61952,dummy
